statename,district
MIZORAM,SAITUAL
NAGALAND,DIMAPUR
NAGALAND,WOKHA
NAGALAND,MON
NAGALAND,MOKOKCHUNG
NAGALAND,PHEK
NAGALAND,KIPHIRE
NAGALAND,KOHIMA
NAGALAND,TUENSANG
NAGALAND,PEREN
NAGALAND,ZUNHEBOTO
NAGALAND,Noklak
TRIPURA,West Tripura
TRIPURA,Sepahijala
TRIPURA,South Tripura
TRIPURA,Gomati
ARUNACHAL PRADESH,WEST SIANG
ARUNACHAL PRADESH,SIANG
ARUNACHAL PRADESH,DIBANG VALLEY
ARUNACHAL PRADESH,PAPUM PARE
ARUNACHAL PRADESH,LEPARADA
ARUNACHAL PRADESH,WEST KAMENG
ARUNACHAL PRADESH,CHANGLANG
ARUNACHAL PRADESH,NAMSAI
ARUNACHAL PRADESH,UPPER SUBANSIRI
ARUNACHAL PRADESH,TIRAP
ARUNACHAL PRADESH,ANJAW
ARUNACHAL PRADESH,EAST SIANG
ARUNACHAL PRADESH,TAWANG
ARUNACHAL PRADESH,LOWER SIANG
ARUNACHAL PRADESH,LONGDING
ARUNACHAL PRADESH,SHI YOMI
ARUNACHAL PRADESH,KURUNG KUMEY
ARUNACHAL PRADESH,LOWER SUBANSIRI
ARUNACHAL PRADESH,LOWER DIBANG VALLEY
ARUNACHAL PRADESH,PAKKE KESSANG
ARUNACHAL PRADESH,EAST KAMENG
ARUNACHAL PRADESH,LOHIT
ARUNACHAL PRADESH,UPPER SIANG
ARUNACHAL PRADESH,KAMLE
TRIPURA,Dhalai
TRIPURA,Unakoti
TRIPURA,North Tripura
TRIPURA,Khowai
MAHARASHTRA,GONDIA
MAHARASHTRA,NAGPUR
MAHARASHTRA,WARDHA
MAHARASHTRA,YAVATMAL
MAHARASHTRA,AHMEDNAGAR
MAHARASHTRA,SOLAPUR
MAHARASHTRA,PUNE
MAHARASHTRA,PALGHAR
MAHARASHTRA,SATARA
MAHARASHTRA,AURANGABAD
MAHARASHTRA,BEED
MAHARASHTRA,NANDURBAR
MAHARASHTRA,DHULE
MADHYA PRADESH,BALAGHAT
MADHYA PRADESH,KHARGONE
MADHYA PRADESH,MANDLA
MADHYA PRADESH,DINDORI
MADHYA PRADESH,SEONI
MADHYA PRADESH,BHOPAL
MADHYA PRADESH,RAISEN
MADHYA PRADESH,CHHATARPUR
MADHYA PRADESH,PANNA
MADHYA PRADESH,TIKAMGARH
MADHYA PRADESH,Niwari
MADHYA PRADESH,BETUL
MADHYA PRADESH,CHHINDWARA
MADHYA PRADESH,DAMOH
MADHYA PRADESH,HOSHANGABAD
MADHYA PRADESH,HARDA
MADHYA PRADESH,NARSINGHPUR
MADHYA PRADESH,DEWAS
MADHYA PRADESH,REWA
MADHYA PRADESH,SATNA
MADHYA PRADESH,SAGAR
MADHYA PRADESH,SHAHDOL
MADHYA PRADESH,ANUPPUR
MADHYA PRADESH,UMARIA
MADHYA PRADESH,SIDHI
MADHYA PRADESH,SINGRAULI
MADHYA PRADESH,VIDISHA
MADHYA PRADESH,INDORE
JHARKHAND,GUMLA
JHARKHAND,SIMDEGA
JHARKHAND,RANCHI
JHARKHAND,LOHARDAGA
JHARKHAND,GODDA
JHARKHAND,DEOGHAR
JHARKHAND,DUMKA
JHARKHAND,JAMTARA
JHARKHAND,PAKUR
JHARKHAND,SAHEBGANJ
JHARKHAND,WEST SINGHBHUM
JHARKHAND,SARAIKELA KHARSAWAN
JHARKHAND,EAST SINGHBUM
KARNATAKA,BENGALURU RURAL
KARNATAKA,BENGALURU URBAN
KARNATAKA,RAMANAGARA
KARNATAKA,BAGALKOT
KARNATAKA,BELAGAVI
KARNATAKA,BALLARI
KARNATAKA,VIJAYNAGAR
KARNATAKA,BIDAR
KARNATAKA,VIJAYAPURA
KARNATAKA,DHARWAD
KARNATAKA,GADAG
KARNATAKA,KOPPAL
MADHYA PRADESH,DHAR
MADHYA PRADESH,JABALPUR
MADHYA PRADESH,KATNI
MADHYA PRADESH,EAST NIMAR
MADHYA PRADESH,BURHANPUR
MADHYA PRADESH,NEEMUCH
MADHYA PRADESH,BARWANI
MADHYA PRADESH,MANDSAUR
MADHYA PRADESH,JHABUA
MADHYA PRADESH,ALIRAJPUR
MADHYA PRADESH,RATLAM
MADHYA PRADESH,RAJGARH
MADHYA PRADESH,SEHORE
MADHYA PRADESH,SHAJAPUR
MADHYA PRADESH,AGAR MALWA
MADHYA PRADESH,UJJAIN
MADHYA PRADESH,ASHOKNAGAR
MADHYA PRADESH,GUNA
MADHYA PRADESH,SHIVPURI
MADHYA PRADESH,GWALIOR
MADHYA PRADESH,DATIA
MADHYA PRADESH,BHIND
MADHYA PRADESH,MORENA
MADHYA PRADESH,SHEOPUR
GOA,SOUTH GOA
GOA,NORTH GOA
MAHARASHTRA,KOLHAPUR
MAHARASHTRA,RATNAGIRI
MAHARASHTRA,SINDHUDURG
MAHARASHTRA,SANGLI
MAHARASHTRA,RAIGAD
MAHARASHTRA,THANE
MAHARASHTRA,AKOLA
MAHARASHTRA,WASHIM
MAHARASHTRA,AMRAVATI
MAHARASHTRA,BULDHANA
MAHARASHTRA,GADCHIROLI
MAHARASHTRA,CHANDRAPUR
MAHARASHTRA,BHANDARA
KARNATAKA,DAVANGERE
KARNATAKA,SHIVAMOGGA
KARNATAKA,TUMAKURU
KARNATAKA,UDUPI
KERALA,ALAPPUZHA
KERALA,ERNAKULAM
KERALA,KOTTAYAM
KERALA,IDUKKI
KERALA,PATHANAMTHITTA
LAKSHADWEEP,LAKSHADWEEP DISTRICT
KERALA,THRISSUR
KERALA,KOLLAM
KERALA,THIRUVANANTHAPURAM
KERALA,KOZHIKODE
KERALA,MALAPPURAM
KERALA,WAYANAD
KERALA,KANNUR
KERALA,KASARAGOD
KERALA,PALAKKAD
PUDUCHERRY,MAHE
HIMACHAL PRADESH,SIRMAUR
HIMACHAL PRADESH,SOLAN
JAMMU AND KASHMIR,BARAMULLA
JAMMU AND KASHMIR,BANDIPORA
JAMMU AND KASHMIR,KUPWARA
JAMMU AND KASHMIR,SRINAGAR
JAMMU AND KASHMIR,JAMMU
JAMMU AND KASHMIR,SAMBA
JAMMU AND KASHMIR,UDHAMPUR
JAMMU AND KASHMIR,KATHUA
LADAKH,KARGIL
LADAKH,LEH LADAKH
JAMMU AND KASHMIR,RAJOURI
JAMMU AND KASHMIR,POONCH
JAMMU AND KASHMIR,ANANTNAG
JAMMU AND KASHMIR,PULWAMA
JAMMU AND KASHMIR,KULGAM
JAMMU AND KASHMIR,SHOPIAN
JAMMU AND KASHMIR,Budgam
JAMMU AND KASHMIR,GANDERBAL
JAMMU AND KASHMIR,REASI
JAMMU AND KASHMIR,RAMBAN
JAMMU AND KASHMIR,DODA
JAMMU AND KASHMIR,KISHTWAR
JHARKHAND,BOKARO
JHARKHAND,DHANBAD
JHARKHAND,GIRIDIH
JHARKHAND,HAZARIBAGH
JHARKHAND,CHATRA
JHARKHAND,KODERMA
JHARKHAND,RAMGARH
JHARKHAND,LATEHAR
JHARKHAND,GARHWA
JHARKHAND,PALAMU
JHARKHAND,KHUNTI
KARNATAKA,KALABURAGI
KARNATAKA,YADGIR
KARNATAKA,HAVERI
KARNATAKA,UTTARA KANNADA
KARNATAKA,RAICHUR
KARNATAKA,CHIKKAMAGALURU
KARNATAKA,CHITRADURGA
KARNATAKA,HASSAN
KARNATAKA,KODAGU
KARNATAKA,CHIKKABALLAPURA
KARNATAKA,KOLAR
KARNATAKA,MANDYA
KARNATAKA,DAKSHINA KANNADA
KARNATAKA,MYSURU
KARNATAKA,CHAMARAJANAGARA
PUNJAB,Tarn Taran
PUNJAB,MANSA
PUNJAB,BATHINDA
PUNJAB,SRI MUKTSAR SAHIB
PUNJAB,MOGA
PUNJAB,FARIDKOT
PUNJAB,FAZILKA
PUNJAB,FIROZEPUR
PUNJAB,GURDASPUR
PUNJAB,PATHANKOT
PUNJAB,HOSHIARPUR
PUNJAB,Shahid Bhagat Singh Nagar
PUNJAB,JALANDHAR
PUNJAB,KAPURTHALA
RAJASTHAN,AJMER
RAJASTHAN,RAJSAMAND
RAJASTHAN,BHILWARA
RAJASTHAN,CHITTORGARH
RAJASTHAN,PRATAPGARH
RAJASTHAN,BANSWARA
RAJASTHAN,DUNGARPUR
RAJASTHAN,JHALAWAR
RAJASTHAN,KOTA
RAJASTHAN,BARAN
RAJASTHAN,BUNDI
RAJASTHAN,TONK
RAJASTHAN,UDAIPUR
RAJASTHAN,ALWAR
MEGHALAYA,SOUTH WEST KHASI HILLS
MEGHALAYA,EAST KHASI HILLS
MEGHALAYA,WEST JAINTIA HILLS
MEGHALAYA,EAST JAINTIA HILLS
MEGHALAYA,WEST KHASI HILLS
MEGHALAYA,SOUTH WEST GARO HILLS
MEGHALAYA,SOUTH GARO HILLS
MEGHALAYA,WEST GARO HILLS
MEGHALAYA,NORTH GARO HILLS
MEGHALAYA,EAST GARO HILLS
ODISHA,BALESHWAR
ODISHA,MAYURBHANJ
ODISHA,BHADRAK
ODISHA,KENDUJHAR
ODISHA,PURI
ODISHA,KHORDHA
ODISHA,CUTTACK
ODISHA,JAJAPUR
ODISHA,KENDRAPARA
ODISHA,JAGATSINGHAPUR
ODISHA,NAYAGARH
ODISHA,BALANGIR
ODISHA,SONEPUR
ODISHA,ANUGUL
ODISHA,DHENKANAL
ODISHA,BARGARH
ODISHA,JHARSUGUDA
ODISHA,SAMBALPUR
ODISHA,DEOGARH
ODISHA,SUNDARGARH
ODISHA,GANJAM
ODISHA,GAJAPATI
ODISHA,KALAHANDI
ODISHA,NUAPADA
ODISHA,MALKANGIRI
ODISHA,NABARANGPUR
ODISHA,KORAPUT
ODISHA,RAYAGADA
ODISHA,BOUDH
ODISHA,KANDHAMAL
PUNJAB,S.A.S Nagar
CHANDIGARH,CHANDIGARH
PUNJAB,RUPNAGAR
PUNJAB,LUDHIANA
PUNJAB,FATEHGARH SAHIB
PUNJAB,PATIALA
PUNJAB,MALERKOTLA
PUNJAB,BARNALA
PUNJAB,SANGRUR
PUNJAB,AMRITSAR
RAJASTHAN,BHARATPUR
RAJASTHAN,DHOLPUR
RAJASTHAN,JAIPUR
RAJASTHAN,DAUSA
RAJASTHAN,SAWAI MADHOPUR
RAJASTHAN,KARAULI
RAJASTHAN,BARMER
RAJASTHAN,BIKANER
RAJASTHAN,CHURU
RAJASTHAN,JHUNJHUNU
RAJASTHAN,JAISALMER
RAJASTHAN,JODHPUR
RAJASTHAN,NAGAUR
RAJASTHAN,PALI
RAJASTHAN,SIKAR
RAJASTHAN,SIROHI
RAJASTHAN,JALORE
RAJASTHAN,HANUMANGARH
RAJASTHAN,GANGANAGAR
TAMIL NADU,Ranipet
TAMIL NADU,VELLORE
TAMIL NADU,TIRUVANNAMALAI
TAMIL NADU,CHENGALPATTU
TAMIL NADU,KANCHIPURAM
TAMIL NADU,VILLUPURAM
TAMIL NADU,THIRUVALLUR
PUDUCHERRY,PONDICHERRY
TAMIL NADU,CUDDALORE
TAMIL NADU,COIMBATORE
TAMIL NADU,DHARMAPURI
TAMIL NADU,ERODE
TAMIL NADU,TIRUPPUR
TAMIL NADU,KRISHNAGIRI
TAMIL NADU,NAMAKKAL
TAMIL NADU,SALEM
TAMIL NADU,THE NILGIRIS
TAMIL NADU,VIRUDHUNAGAR
TAMIL NADU,KARUR
TAMIL NADU,TIRUCHIRAPPALLI
TAMIL NADU,PUDUKKOTTAI
TAMIL NADU,THANJAVUR
TAMIL NADU,THIRUVARUR
TAMIL NADU,MAYILADUTHURAI
TAMIL NADU,NAGAPATTINAM
PUDUCHERRY,KARAIKAL
TAMIL NADU,PERAMBALUR
TAMIL NADU,Ariyalur
TAMIL NADU,KALLAKURICHI
UTTAR PRADESH,AGRA
UTTAR PRADESH,ALIGARH
UTTAR PRADESH,HATHRAS
UTTAR PRADESH,BULANDSHAHR
UTTAR PRADESH,GAUTAM BUDDHA NAGAR
UTTAR PRADESH,ETAH
UTTAR PRADESH,Kasganj
UTTAR PRADESH,AURAIYA
UTTAR PRADESH,ETAWAH
UTTAR PRADESH,JHANSI
UTTAR PRADESH,HAPUR
UTTAR PRADESH,LALITPUR
UTTAR PRADESH,JALAUN
UTTAR PRADESH,FIROZABAD
UTTAR PRADESH,MAINPURI
UTTAR PRADESH,MATHURA
UTTAR PRADESH,PRAYAGRAJ
UTTAR PRADESH,KAUSHAMBI
UTTAR PRADESH,GHAZIPUR
UTTAR PRADESH,JAUNPUR
UTTAR PRADESH,LUCKNOW
UTTAR PRADESH,MIRZAPUR
UTTAR PRADESH,SONBHADRA
UTTAR PRADESH,PRATAPGARH
UTTAR PRADESH,CHANDAULI
UTTAR PRADESH,VARANASI
UTTAR PRADESH,BHADOHI
UTTAR PRADESH,BAREILLY
UTTAR PRADESH,PILIBHIT
UTTAR PRADESH,BIJNOR
UTTAR PRADESH,BUDAUN
UTTAR PRADESH,SAMBHAL
UTTAR PRADESH,HARDOI
UTTAR PRADESH,KHERI
UTTAR PRADESH,SITAPUR
UTTAR PRADESH,AMBEDKAR NAGAR
UTTAR PRADESH,BAGHPAT
UTTAR PRADESH,MEERUT
UTTAR PRADESH,AMROHA
UTTAR PRADESH,MORADABAD
UTTAR PRADESH,RAMPUR
UTTAR PRADESH,MUZAFFARNAGAR
UTTAR PRADESH,SHAMLI
UTTAR PRADESH,SAHARANPUR
UTTARAKHAND,HARIDWAR
UTTAR PRADESH,SHAHJAHANPUR
UTTAR PRADESH,AZAMGARH
UTTAR PRADESH,MAU
UTTAR PRADESH,BAHRAICH
UTTAR PRADESH,SHRAVASTI
UTTAR PRADESH,SIDDHARTH NAGAR
UTTAR PRADESH,SANT KABEER NAGAR
UTTAR PRADESH,BASTI
UTTAR PRADESH,DEORIA
UTTAR PRADESH,KUSHI NAGAR
TAMIL NADU,Tirupathur
TAMIL NADU,DINDIGUL
TAMIL NADU,KANNIYAKUMARI
TAMIL NADU,SIVAGANGA
TAMIL NADU,TUTICORIN
TAMIL NADU,TENKASI
TAMIL NADU,TIRUNELVELI
TAMIL NADU,MADURAI
TAMIL NADU,RAMANATHAPURAM
TAMIL NADU,THENI
WEST BENGAL,MEDINIPUR EAST
WEST BENGAL,HOOGHLY
WEST BENGAL,PURBA BARDHAMAN
WEST BENGAL,HOWRAH
WEST BENGAL,Jhargram
WEST BENGAL,MEDINIPUR WEST
WEST BENGAL,BANKURA
WEST BENGAL,PURULIA
MAHARASHTRA,MUMBAI
TAMIL NADU,CHENNAI
UTTAR PRADESH,MAHARAJGANJ
UTTAR PRADESH,FATEHPUR
UTTARAKHAND,DEHRADUN
UTTARAKHAND,PAURI GARHWAL
WEST BENGAL,24 PARAGANAS NORTH
WEST BENGAL,BIRBHUM
WEST BENGAL,KOLKATA
WEST BENGAL,NADIA
ANDAMAN AND NICOBAR ISLANDS,SOUTH ANDAMANS
WEST BENGAL,COOCHBEHAR
WEST BENGAL,DARJEELING
WEST BENGAL,DINAJPUR DAKSHIN
WEST BENGAL,PASCHIM BARDHAMAN
UTTAR PRADESH,BALRAMPUR
UTTAR PRADESH,GONDA
UTTAR PRADESH,GORAKHPUR
UTTAR PRADESH,BANDA
UTTAR PRADESH,HAMIRPUR
UTTAR PRADESH,MAHOBA
UTTAR PRADESH,FARRUKHABAD
UTTAR PRADESH,KANNAUJ
UTTAR PRADESH,KANPUR NAGAR
UTTAR PRADESH,KANPUR DEHAT
UTTAR PRADESH,UNNAO
UTTAR PRADESH,BARABANKI
UTTAR PRADESH,AYODHYA
UTTAR PRADESH,GHAZIABAD
UTTAR PRADESH,RAE BARELI
UTTAR PRADESH,Amethi
UTTAR PRADESH,SULTANPUR
UTTARAKHAND,BAGESHWAR
UTTARAKHAND,ALMORA
UTTARAKHAND,CHAMOLI
UTTARAKHAND,RUDRA PRAYAG
UTTARAKHAND,UDAM SINGH NAGAR
UTTARAKHAND,NAINITAL
UTTARAKHAND,CHAMPAWAT
UTTARAKHAND,PITHORAGARH
UTTARAKHAND,TEHRI GARHWAL
UTTARAKHAND,UTTAR KASHI
WEST BENGAL,MURSHIDABAD
WEST BENGAL,24 PARAGANAS SOUTH
ANDAMAN AND NICOBAR ISLANDS,NORTH AND MIDDLE ANDAMAN
WEST BENGAL,Alipurduar
WEST BENGAL,KALIMPONG
WEST BENGAL,JALPAIGURI
WEST BENGAL,MALDAH
SIKKIM,EAST DISTRICT
SIKKIM,NORTH DISTRICT
WEST BENGAL,DINAJPUR UTTAR
MAHARASHTRA,MUMBAI SUBURBAN
NAGALAND,LONGLENG
ANDAMAN AND NICOBAR ISLANDS,NICOBARS
SIKKIM,WEST DISTRICT
SIKKIM,SOUTH DISTRICT
SIKKIM,Pakyong
DELHI,SHAHDARA
DELHI,EAST
DELHI,CENTRAL
DELHI,South East
UTTAR PRADESH,CHITRAKOOT
THE DADRA AND NAGAR HAVELI AND DAMAN AND DIU,DIU
SIKKIM,Soreng
ARUNACHAL PRADESH,KRA DAADI
PUDUCHERRY,YANAM
